passenger_id,age,age_band,gender
P1000,52,46-60,F
P1001,15,13-18,M
P1002,72,61-75,M
P1003,61,61-75,F
P1004,21,19-30,M
P1005,83,76+,M
P1006,87,76+,M
P1007,75,61-75,M
P1008,75,61-75,M
P1009,88,76+,M
P1010,24,19-30,M
P1011,3,0-12,M
P1012,22,19-30,M
P1013,53,46-60,M
P1014,2,0-12,F
P1015,88,76+,F
P1016,30,19-30,M
P1017,38,31-45,F
P1018,2,0-12,F
P1019,64,61-75,M
P1020,60,46-60,M
P1021,21,19-30,M
P1022,33,31-45,F
P1023,76,76+,F
P1024,58,46-60,M
P1025,22,19-30,M
P1026,89,76+,M
P1027,49,46-60,F
P1028,59,46-60,F
P1029,42,31-45,F
P1030,60,46-60,F
P1031,80,76+,M
P1032,15,13-18,M
P1033,62,61-75,M
P1034,62,61-75,M
P1035,47,46-60,F
P1036,62,61-75,F
P1037,51,46-60,M
P1038,55,46-60,M
P1039,64,61-75,F
P1040,3,0-12,M
P1041,51,46-60,F
P1042,7,0-12,M
P1043,21,19-30,M
P1044,73,61-75,M
P1045,39,31-45,M
P1046,18,13-18,M
P1047,4,0-12,M
P1048,89,76+,M
P1049,60,46-60,F
P1050,14,13-18,F
P1051,9,0-12,F
P1052,53,46-60,F
P1053,2,0-12,F
P1054,84,76+,M
P1055,60,46-60,M
P1056,71,61-75,F
P1057,44,31-45,M
P1058,8,0-12,F
P1059,47,46-60,F
P1060,35,31-45,M
P1061,78,76+,M
P1062,81,76+,M
P1063,36,31-45,F
P1064,50,46-60,M
P1065,4,0-12,F
P1066,2,0-12,F
P1067,6,0-12,F
P1068,54,46-60,M
P1069,4,0-12,M
P1070,54,46-60,F
P1071,63,61-75,M
P1072,18,13-18,M
P1073,44,31-45,M
P1074,34,31-45,F
P1075,74,61-75,F
P1076,62,61-75,M
P1077,14,13-18,F
P1078,48,46-60,M
P1079,15,13-18,M
P1080,72,61-75,M
P1081,78,76+,M
P1082,87,76+,F
P1083,62,61-75,F
P1084,40,31-45,F
P1085,85,76+,M
P1086,80,76+,M
P1087,82,76+,M
P1088,53,46-60,F
P1089,24,19-30,M
P1090,26,19-30,F
P1091,89,76+,F
P1092,60,46-60,F
P1093,41,31-45,F
P1094,29,19-30,F
P1095,15,13-18,F
P1096,45,31-45,M
P1097,65,61-75,M
P1098,89,76+,F
P1099,71,61-75,F
P1100,9,0-12,M
P1101,88,76+,F
P1102,1,0-12,F
P1103,8,0-12,M
P1104,88,76+,F
P1105,63,61-75,F
P1106,11,0-12,F
P1107,81,76+,M
P1108,8,0-12,M
P1109,35,31-45,M
P1110,35,31-45,F
P1111,33,31-45,F
P1112,5,0-12,M
P1113,41,31-45,F
P1114,28,19-30,F
P1115,7,0-12,F
P1116,73,61-75,F
P1117,72,61-75,F
P1118,12,0-12,M
P1119,34,31-45,F
P1120,33,31-45,M
P1121,48,46-60,F
P1122,23,19-30,M
P1123,62,61-75,F
P1124,88,76+,M
P1125,37,31-45,F
P1126,44,31-45,M
P1127,86,76+,F
P1128,35,31-45,M
P1129,65,61-75,F
P1130,47,46-60,M
P1131,78,76+,M
P1132,3,0-12,F
P1133,1,0-12,F
P1134,5,0-12,M
P1135,14,13-18,F
P1136,27,19-30,M
P1137,9,0-12,M
P1138,79,76+,M
P1139,15,13-18,F
P1140,42,31-45,M
P1141,77,76+,M
P1142,51,46-60,F
P1143,63,61-75,F
P1144,52,46-60,F
P1145,4,0-12,F
P1146,23,19-30,M
P1147,15,13-18,M
P1148,43,31-45,M
P1149,29,19-30,M
P1150,36,31-45,F
P1151,13,13-18,M
P1152,32,31-45,M
P1153,71,61-75,F
P1154,59,46-60,M
P1155,86,76+,M
P1156,28,19-30,M
P1157,66,61-75,M
P1158,42,31-45,M
P1159,45,31-45,M
P1160,62,61-75,F
P1161,57,46-60,F
P1162,6,0-12,M
P1163,28,19-30,M
P1164,28,19-30,F
P1165,44,31-45,M
P1166,84,76+,M
P1167,30,19-30,M
P1168,62,61-75,F
P1169,75,61-75,M
P1170,89,76+,F
P1171,62,61-75,M
P1172,1,0-12,F
P1173,27,19-30,F
P1174,62,61-75,M
P1175,77,76+,F
P1176,3,0-12,M
P1177,70,61-75,F
P1178,72,61-75,M
P1179,27,19-30,M
P1180,9,0-12,F
P1181,62,61-75,M
P1182,37,31-45,M
P1183,51,46-60,F
P1184,44,31-45,M
P1185,24,19-30,M
P1186,79,76+,F
P1187,59,46-60,F
P1188,32,31-45,M
P1189,88,76+,M
P1190,52,46-60,F
P1191,62,61-75,F
P1192,58,46-60,M
P1193,52,46-60,F
P1194,12,0-12,M
P1195,39,31-45,M
P1196,2,0-12,M
P1197,3,0-12,M
P1198,56,46-60,M
P1199,81,76+,F
P1200,59,46-60,F
P1201,2,0-12,F
P1202,2,0-12,F
P1203,54,46-60,M
P1204,87,76+,M
P1205,1,0-12,M
P1206,19,19-30,M
P1207,2,0-12,F
P1208,53,46-60,M
P1209,44,31-45,M
P1210,32,31-45,F
P1211,70,61-75,F
P1212,32,31-45,F
P1213,68,61-75,F
P1214,55,46-60,M
P1215,75,61-75,M
P1216,56,46-60,F
P1217,17,13-18,M
P1218,38,31-45,M
P1219,24,19-30,M
P1220,69,61-75,F
P1221,70,61-75,M
P1222,86,76+,F
P1223,11,0-12,M
P1224,16,13-18,M
P1225,73,61-75,M
P1226,59,46-60,F
P1227,70,61-75,M
P1228,80,76+,F
P1229,3,0-12,F
P1230,20,19-30,F
P1231,59,46-60,M
P1232,36,31-45,M
P1233,19,19-30,M
P1234,67,61-75,M
P1235,19,19-30,F
P1236,20,19-30,F
P1237,71,61-75,F
P1238,52,46-60,M
P1239,33,31-45,F
P1240,40,31-45,M
P1241,39,31-45,F
P1242,82,76+,M
P1243,1,0-12,M
P1244,11,0-12,F
P1245,57,46-60,F
P1246,89,76+,F
P1247,50,46-60,F
P1248,23,19-30,M
P1249,31,31-45,F
P1250,42,31-45,F
P1251,7,0-12,F
P1252,16,13-18,M
P1253,60,46-60,M
P1254,2,0-12,F
P1255,1,0-12,M
P1256,48,46-60,F
P1257,12,0-12,M
P1258,69,61-75,M
P1259,37,31-45,M
P1260,32,31-45,M
P1261,9,0-12,F
P1262,19,19-30,F
P1263,48,46-60,F
P1264,80,76+,M
P1265,3,0-12,F
P1266,20,19-30,F
P1267,24,19-30,F
P1268,54,46-60,M
P1269,33,31-45,M
P1270,24,19-30,M
P1271,75,61-75,F
P1272,72,61-75,F
P1273,36,31-45,F
P1274,38,31-45,M
P1275,84,76+,M
P1276,89,76+,F
P1277,25,19-30,M
P1278,18,13-18,M
P1279,82,76+,M
P1280,66,61-75,M
P1281,54,46-60,F
P1282,35,31-45,M
P1283,80,76+,M
P1284,61,61-75,M
P1285,41,31-45,M
P1286,33,31-45,F
P1287,68,61-75,F
P1288,33,31-45,M
P1289,14,13-18,M
P1290,21,19-30,M
P1291,48,46-60,M
P1292,20,19-30,M
P1293,8,0-12,M
P1294,7,0-12,F
P1295,67,61-75,M
P1296,17,13-18,F
P1297,33,31-45,F
P1298,48,46-60,M
P1299,76,76+,F
P1300,59,46-60,F
P1301,86,76+,F
P1302,22,19-30,F
P1303,30,19-30,F
P1304,38,31-45,F
P1305,51,46-60,M
P1306,54,46-60,F
P1307,8,0-12,F
P1308,27,19-30,F
P1309,27,19-30,M
P1310,21,19-30,F
P1311,30,19-30,M
P1312,28,19-30,F
P1313,64,61-75,M
P1314,69,61-75,M
P1315,61,61-75,F
P1316,48,46-60,F
P1317,19,19-30,M
P1318,4,0-12,F
P1319,35,31-45,M
P1320,64,61-75,M
P1321,49,46-60,M
P1322,17,13-18,M
P1323,44,31-45,M
P1324,30,19-30,F
P1325,46,46-60,M
P1326,6,0-12,M
P1327,37,31-45,F
P1328,24,19-30,M
P1329,46,46-60,F
P1330,53,46-60,F
P1331,60,46-60,F
P1332,63,61-75,M
P1333,85,76+,M
P1334,32,31-45,M
P1335,87,76+,F
P1336,33,31-45,M
P1337,67,61-75,F
P1338,18,13-18,M
P1339,25,19-30,F
P1340,54,46-60,M
P1341,58,46-60,M
P1342,67,61-75,M
P1343,46,46-60,F
P1344,24,19-30,F
P1345,32,31-45,M
P1346,47,46-60,M
P1347,86,76+,F
P1348,23,19-30,F
P1349,66,61-75,F
P1350,27,19-30,M
P1351,2,0-12,F
P1352,17,13-18,M
P1353,33,31-45,F
P1354,9,0-12,M
P1355,43,31-45,F
P1356,48,46-60,F
P1357,39,31-45,F
P1358,42,31-45,F
P1359,26,19-30,F
P1360,50,46-60,M
P1361,25,19-30,F
P1362,24,19-30,F
P1363,13,13-18,F
P1364,60,46-60,M
P1365,7,0-12,F
P1366,57,46-60,M
P1367,36,31-45,F
P1368,45,31-45,F
P1369,20,19-30,M
P1370,65,61-75,F
P1371,8,0-12,M
