booking_id,passenger_id,flight_id,date_key,status,seat_number
B1000,P1591,AI192,20250614,CANCELLED,3D
B1001,P1803,6F026,20251102,CANCELLED,18A
B1002,P1083,SJ010,20250825,CANCELLED,30C
B1003,P1364,AI069,20251230,CONFIRMED,33A
B1004,P1885,UK003,20251002,PENDING,25C
B1005,P1548,AI048,20250831,CONFIRMED,13D
B1006,P1341,AI140,20250629,CANCELLED,17F
B1007,P1838,UK167,20260312,CONFIRMED,22E
B1008,P1406,AI245,20250907,PENDING,34F
B1009,P1424,SJ158,20250428,CANCELLED,33C
B1010,P1743,AI155,20251124,CONFIRMED,15B
B1011,P1092,AI179,20251025,CONFIRMED,22C
B1012,P1847,AI137,20250815,PENDING,28B
B1013,P1613,SJ001,20250720,CONFIRMED,26E
B1014,P1411,SJ172,20250915,PENDING,21E
B1015,P1431,UK094,20251021,UNKNOWN,6F
B1016,P1677,UK027,20260113,CANCELLED,6A
B1017,P1158,UK067,20260404,CONFIRMED,13B
B1018,P1013,6F196,20260325,CANCELLED,19B
B1019,P1372,6F164,20250731,CANCELLED,19A
B1020,P1224,SJ112,20251206,CONFIRMED,27B
B1021,P1504,6F190,20251207,CANCELLED,4E
B1022,P1072,AI080,20260325,CONFIRMED,16F
B1023,P1248,6F213,20260203,PENDING,24B
B1024,P1510,AI115,20250621,PENDING,30F
B1025,P1602,SJ049,20260318,PENDING,1B
B1026,P1215,AI058,20250627,CONFIRMED,32C
B1027,P1972,UK036,20250725,CONFIRMED,22A
B1028,P1601,SJ239,20250525,CANCELLED,26E
B1029,P1540,6F025,20250606,CANCELLED,19C
B1030,P1946,6F236,20260318,CANCELLED,21E
B1031,P1816,AI060,20251116,CANCELLED,1E
B1032,P1938,UK021,20250903,CANCELLED,18E
B1033,P1987,UK026,20250506,UNKNOWN,19A
B1034,P1219,SJ179,20251231,CONFIRMED,22F
B1035,P1839,6F251,20250821,PENDING,11D
B1036,P1726,SJ149,20251124,PENDING,5B
B1037,P1220,AI188,20260320,PENDING,33E
B1038,P1388,SJ093,20260101,PENDING,12D
B1039,P1553,SJ205,20250821,CONFIRMED,11E
B1040,P1646,6F099,20250808,CONFIRMED,26B
B1041,P1041,UK176,20250528,CONFIRMED,25C
B1042,P1675,UK200,20251202,CANCELLED,24F
B1043,P1872,6F195,20251122,CANCELLED,8E
B1044,P1282,6F174,20260412,PENDING,16C
B1045,P1057,SJ214,20260319,UNKNOWN,18C
B1046,P1813,UK059,20251014,CONFIRMED,2C
B1047,P1833,6F151,20251229,PENDING,7C
B1048,P1536,SJ236,20250919,PENDING,18C
B1049,P1072,SJ153,20250728,UNKNOWN,3C
B1050,P1884,AI220,20260115,PENDING,7D
B1051,P1922,6F028,20250705,CANCELLED,16A
B1052,P1128,UK209,20251230,CANCELLED,33B
B1053,P1598,UK216,20260401,PENDING,28B
B1054,P1841,AI132,20260411,CANCELLED,19C
B1055,P1425,6F012,20251014,CANCELLED,13F
B1056,P1947,UK173,20260324,CANCELLED,15B
B1057,P1664,SJ047,20250820,CANCELLED,14F
B1058,P1693,SJ043,20251207,PENDING,8C
B1059,P1124,UK140,20260103,CONFIRMED,23B
B1060,P1066,6F086,20251230,CONFIRMED,11A
B1061,P1005,6F114,20260405,CANCELLED,19C
B1062,P1636,UK153,20250612,CANCELLED,15D
B1063,P1313,6F149,20250519,CANCELLED,9A
B1064,P1325,UK145,20250914,CONFIRMED,24E
B1065,P1564,UK010,20260306,CANCELLED,7B
B1066,P1577,SJ003,20251105,PENDING,1B
B1067,P1825,SJ160,20250723,PENDING,7F
B1068,P1505,UK224,20251122,PENDING,23A
B1069,P1081,UK152,20250802,CONFIRMED,16E
B1070,P1598,SJ034,20250922,CANCELLED,15D
B1071,P1001,UK215,20251221,CANCELLED,15F
B1072,P1203,UK089,20250810,CANCELLED,18F
B1073,P1661,6F180,20251204,CONFIRMED,16A
B1074,P1804,6F188,20250925,CONFIRMED,7A
B1075,P1403,UK131,20260103,CONFIRMED,2F
B1076,P1102,UK055,20250504,CONFIRMED,12B
B1077,P1535,UK181,20250503,PENDING,3A
B1078,P1367,6F077,20250921,CONFIRMED,1B
B1079,P1211,SJ085,20250603,CONFIRMED,10D
B1080,P1576,SJ023,20250605,CONFIRMED,22D
B1081,P1960,SJ202,20251113,CANCELLED,29C
B1082,P1208,SJ150,20250909,CANCELLED,30A
B1083,P1762,SJ116,20250512,CANCELLED,9A
B1084,P1896,6F270,20250614,PENDING,16E
B1085,P1116,UK150,20260324,PENDING,12A
B1086,P1627,SJ237,20260216,CONFIRMED,5D
B1087,P1748,AI221,20250508,CANCELLED,2F
B1088,P1477,SJ081,20260325,PENDING,31A
B1089,P1104,UK189,20250903,CANCELLED,25F
B1090,P1494,SJ068,20250516,PENDING,31C
B1091,P1770,6F043,20250818,PENDING,25D
B1092,P1045,UK187,20260318,CONFIRMED,16D
B1093,P1822,UK074,20250511,CONFIRMED,25E
B1094,P1330,UK004,20260107,PENDING,24C
