flight_id,airline_code,route_id,date_key,departure_time,arrival_time,dep_hour,duration_minutes,expected_duration,delay_minutes,is_delayed,is_early,is_severe_delay,is_overnight,is_duration_outlier,is_anomaly,anomaly_reason
SJ010,SJ,15,20260420,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,23,174,165,9,False,False,False,True,False,True,overnight
AI155,AI,7,20260420,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,23,108,170,-62,False,True,False,True,False,True,overnight
UK094,UK,7,20260420,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,23,105,170,-65,False,True,False,True,False,True,overnight
AI245,AI,7,20260420,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,23,156,170,-14,False,False,False,True,False,True,overnight
AI192,AI,27,20260420,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,23,299,173,126,True,False,True,True,True,True,severe_delay;overnight;duration_outlier
SJ158,SJ,19,20260420,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,23,139,177,-38,False,True,False,True,False,True,overnight
6F196,6F,15,20260420,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,23,103,165,-62,False,True,False,True,False,True,overnight
AI080,AI,9,20260420,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,23,92,208,-116,False,True,False,True,False,True,overnight
6F025,6F,1,20260420,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,23,55,140,-85,False,True,False,False,False,False,
6F251,6F,16,20260420,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,22,41,191,-150,False,True,False,False,False,False,
AI137,AI,8,20260420,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,22,148,157,-9,False,False,False,True,False,True,overnight
6F026,6F,7,20260420,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,22,267,170,97,True,False,True,True,False,True,severe_delay;overnight
UK167,UK,20,20260420,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,22,181,184,-3,False,False,False,True,False,True,overnight
UK027,UK,7,20260420,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,22,141,170,-29,False,False,False,True,False,True,overnight
AI069,AI,17,20260420,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,22,226,176,50,True,False,False,True,False,True,overnight
AI058,AI,7,20260420,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,22,98,170,-72,False,True,False,True,False,True,overnight
AI140,AI,8,20260420,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,22,223,157,66,True,False,False,True,False,True,overnight
SJ239,SJ,7,20260420,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,22,106,170,-64,False,True,False,True,False,True,overnight
6F099,6F,29,20260420,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,22,35,176,-141,False,True,False,False,False,False,
AI048,AI,13,20260420,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,22,232,140,92,True,False,True,True,False,True,severe_delay;overnight
SJ112,SJ,24,20260420,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,22,140,196,-56,False,True,False,True,False,True,overnight
6F164,6F,1,20260420,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,22,147,140,7,False,False,False,True,False,True,overnight
UK021,UK,25,20260420,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,22,110,141,-31,False,True,False,False,False,False,
SJ172,SJ,13,20260420,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,21,196,140,56,True,False,False,True,False,True,overnight
AI060,AI,19,20260420,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,21,113,177,-64,False,True,False,False,False,False,
SJ205,SJ,23,20260420,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,21,64,177,-113,False,True,False,False,False,False,
SJ093,SJ,1,20260420,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,21,66,140,-74,False,True,False,False,False,False,
6F195,6F,13,20260420,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,21,55,140,-85,False,True,False,False,False,False,
UK003,UK,24,20260420,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,21,278,196,82,True,False,False,True,False,True,overnight
UK026,UK,25,20260420,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,21,126,141,-15,False,False,False,False,False,False,
6F174,6F,19,20260420,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,21,40,177,-137,False,True,False,False,False,False,
UK067,UK,7,20260420,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,21,206,170,36,True,False,False,True,False,True,overnight
SJ149,SJ,25,20260420,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,21,120,141,-21,False,False,False,False,False,False,
6F213,6F,1,20260420,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,21,207,140,67,True,False,False,True,False,True,overnight
UK200,UK,13,20260420,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,20,111,140,-29,False,False,False,False,False,False,
SJ214,SJ,10,20260420,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,20,76,180,-104,False,True,False,False,False,False,
SJ047,SJ,22,20260420,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,20,37,150,-113,False,True,False,False,False,False,
AI179,AI,22,20260420,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,20,278,150,128,True,False,True,True,False,True,severe_delay;overnight
SJ153,SJ,18,20260420,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,20,83,144,-61,False,True,False,False,False,False,
6F236,6F,8,20260420,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,20,199,157,42,True,False,False,False,False,False,
UK059,UK,25,20260420,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,20,97,141,-44,False,True,False,False,False,False,
SJ001,SJ,10,20260420,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,20,287,180,107,True,False,True,True,False,True,severe_delay;overnight
SJ049,SJ,13,20260420,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,20,240,140,100,True,False,True,True,False,True,severe_delay;overnight
6F086,6F,30,20260420,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,20,37,164,-127,False,True,False,False,False,False,
AI220,AI,8,20260420,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,20,98,157,-59,False,True,False,False,False,False,
AI188,AI,14,20260420,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,20,166,150,16,False,False,False,False,False,False,
6F114,6F,10,20260420,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,20,50,180,-130,False,True,False,False,False,False,
SJ179,SJ,19,20260420,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,20,210,177,33,True,False,False,False,False,False,
6F190,6F,20,20260420,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,20,274,184,90,True,False,False,True,False,True,overnight
SJ003,SJ,28,20260420,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,19,42,132,-90,False,True,False,False,False,False,
6F028,6F,23,20260420,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,19,120,177,-57,False,True,False,False,False,False,
