route,source,destination,flights,avg_duration_min
BOM-CCU,BOM,CCU,90,169.5
CCU-DEL,CCU,DEL,72,153.6
MAA-BLR,MAA,BLR,65,172.8
BLR-BOM,BLR,BOM,60,147.7
HYD-MAA,HYD,MAA,57,152.8
DEL-HYD,DEL,HYD,54,174.8
HYD-DEL,HYD,DEL,42,185.4
BOM-DEL,BOM,DEL,39,153.8
CCU-BOM,CCU,BOM,33,164.0
DEL-BLR,DEL,BLR,29,170.0
DEL-BOM,DEL,BOM,28,178.1
HYD-BOM,HYD,BOM,27,155.5
BOM-MAA,BOM,MAA,27,183.4
BOM-HYD,BOM,HYD,26,180.8
MAA-DEL,MAA,DEL,26,156.0
HYD-CCU,HYD,CCU,26,167.2
DEL-CCU,DEL,CCU,26,151.7
HYD-BLR,HYD,BLR,26,162.8
MAA-CCU,MAA,CCU,24,158.5
CCU-MAA,CCU,MAA,24,171.3
BOM-BLR,BOM,BLR,23,176.5
DEL-MAA,DEL,MAA,23,178.8
BLR-CCU,BLR,CCU,21,128.5
CCU-HYD,CCU,HYD,21,152.2
MAA-BOM,MAA,BOM,21,176.8
MAA-HYD,MAA,HYD,21,160.0
BLR-HYD,BLR,HYD,19,155.7
CCU-BLR,CCU,BLR,19,174.4
BLR-DEL,BLR,DEL,19,156.9
BLR-MAA,BLR,MAA,16,187.3
