route,revenue,payments,avg_fare
BOM-CCU,756325.0,89,8498.0
CCU-DEL,598906.0,76,7880.0
MAA-BLR,556319.0,69,8063.0
BLR-BOM,554232.0,67,8272.0
DEL-HYD,553907.0,68,8146.0
HYD-MAA,478564.0,57,8396.0
HYD-DEL,345907.0,42,8236.0
HYD-BLR,334440.0,40,8361.0
BOM-DEL,331464.0,40,8287.0
HYD-CCU,266992.0,30,8900.0
DEL-CCU,249091.0,27,9226.0
BOM-HYD,235543.0,25,9422.0
DEL-BLR,209123.0,37,5652.0
DEL-BOM,199124.0,26,7659.0
BOM-MAA,193158.0,27,7154.0
CCU-HYD,184444.0,23,8019.0
CCU-BOM,182948.0,26,7036.0
MAA-CCU,178290.0,19,9384.0
HYD-BOM,172841.0,24,7202.0
BOM-BLR,162022.0,21,7715.0
MAA-BOM,154611.0,19,8137.0
BLR-CCU,152313.0,19,8016.0
MAA-DEL,144350.0,19,7597.0
CCU-BLR,132451.0,15,8830.0
CCU-MAA,131220.0,19,6906.0
MAA-HYD,120344.0,18,6686.0
BLR-HYD,118122.0,16,7383.0
DEL-MAA,117405.0,16,7338.0
BLR-MAA,107018.0,15,7135.0
BLR-DEL,89782.0,11,8162.0
