route,source,destination,flights,avg_duration_min,delayed,overnight,share_pct,delayed_pct
BOM-CCU,BOM,CCU,90,169.5,32,16,9.0,35.6
CCU-DEL,CCU,DEL,72,153.6,30,11,7.2,41.7
MAA-BLR,MAA,BLR,65,172.8,28,8,6.5,43.1
BLR-BOM,BLR,BOM,60,147.7,22,7,6.0,36.7
HYD-MAA,HYD,MAA,57,152.8,21,5,5.7,36.8
DEL-HYD,DEL,HYD,54,174.8,20,6,5.4,37.0
HYD-DEL,HYD,DEL,42,185.4,15,9,4.2,35.7
BOM-DEL,BOM,DEL,39,153.8,12,3,3.9,30.8
CCU-BOM,CCU,BOM,33,164.0,13,1,3.3,39.4
DEL-BLR,DEL,BLR,29,170.0,10,3,2.9,34.5
DEL-BOM,DEL,BOM,28,178.1,13,5,2.8,46.4
HYD-BOM,HYD,BOM,27,155.5,12,3,2.7,44.4
BOM-MAA,BOM,MAA,27,183.4,11,5,2.7,40.7
BOM-HYD,BOM,HYD,26,180.8,8,4,2.6,30.8
MAA-DEL,MAA,DEL,26,156.0,8,2,2.6,30.8
HYD-CCU,HYD,CCU,26,167.2,11,2,2.6,42.3
DEL-CCU,DEL,CCU,26,151.7,8,3,2.6,30.8
HYD-BLR,HYD,BLR,26,162.8,11,2,2.6,42.3
MAA-CCU,MAA,CCU,24,158.5,10,1,2.4,41.7
CCU-MAA,CCU,MAA,24,171.3,10,3,2.4,41.7
BOM-BLR,BOM,BLR,23,176.5,7,1,2.3,30.4
DEL-MAA,DEL,MAA,23,178.8,7,4,2.3,30.4
BLR-CCU,BLR,CCU,21,128.5,8,4,2.1,38.1
CCU-HYD,CCU,HYD,21,152.2,8,1,2.1,38.1
MAA-BOM,MAA,BOM,21,176.8,8,4,2.1,38.1
MAA-HYD,MAA,HYD,21,160.0,8,0,2.1,38.1
BLR-HYD,BLR,HYD,19,155.7,6,3,1.9,31.6
CCU-BLR,CCU,BLR,19,174.4,6,3,1.9,31.6
BLR-DEL,BLR,DEL,19,156.9,9,1,1.9,47.4
BLR-MAA,BLR,MAA,16,187.3,2,2,1.6,12.5
